,content
67,"i really like yhe app, but ca we pllls put the ""next episode"" button on the right on the mobile version. its supper annoying when i click the right button, which is positioned ina way that indicates next, and it actualy takes me to all episodes list..."
68,"Really good app but on Miraculous Ladybug, they only have season 4 and not season 1-3. please put seasons 1-3 i beg you and if u do i thank u soo much ❤🐞"
69,excellent service
70,"starcwars fan since age of 10, so watch it all"
71,i love this app
72,i love it
73,great app got a lot of great show and Disney classics
74,Awesome
75,love it.
76,awesome would recommend! Get to binge watch all the marvel movies whenever I want I love it!
77,got all my starters in one place
78,It's a good app it is for Kids and adults
79,"Love❤, entertainment"
80,best shows ever!
81,Love it
82,amazing worth the money<!!!!!! my son loves watching ice age lol
83,This streaming app is amazing i can always rewatch all of my favorite avengers movies.
84,it's dope
85,Love it get to watch all of my Marvel movies
86,it very good
87,Lots of good shows 👌
88,"I really enjoying watching ""Disney+"""
89,Won't download or play
90,my favorite DISNEY
91,love it
92,good
93,love Disney+
94,izleyecek bolca şey var
95,Best app but upload more indian movies
96,Great movie
97,Has all the disney favourites.
98,So many great TV shows family guy in toy story on my
99,ok what that do?
100,Love it
101,''So Amazing'' I can Stream all My favorite shows 4 Free
102,it's the best I get to watch many Disney movies
103,best streaming app!
104,Great app
105,Fake
106,it's great
107,Love it
108,Its my favorite streaming service! Me and my family watch it all of the time.
109,love disney+
110,excellent app
111,Its free!!!!!!!!!yeehawwwww
112,"One of the best apps that streams in my opinion, yet to be beaten."
113,excellent collection of shows and movies i dont have to go looking everywhere for
114,best streaming network ever
115,Fantastic viewing pleasure at a great price. Very impressed
116,"With netflix dead, disney plus us is the only straming platform you should choose. If you are in america, you should get hulu ad free, Disney plus and espn bundle for the full experience. This marks the death of cable and satellite TVs."
117,🥰
118,Enjoy having this app on my phone.
119,"Love the movies that are available now. Good selection for adults too. I've been very happy with my subscription so far, no complaints yet."
120,It seems to be all that I watch now which is praise in deed never mind the kids hours of fun movies days popcorn 🍿 snuggles and laughter worth every penny 😀
121,Great choice in shows and movies
122,has everything you could possibley imagine..
123,Easy to use
124,Nslknalkan
125,Great app for Disney movies...
126,great entertainment
127,I love how all the Disney movies are on here new and old. Watching them with my kids is awesome. seeing their faces light up something magical is about to happen!
128,Very good
129,meh
130,Be careful lil eyes what you see.
131,Great 👍
132,I love it there is lots of shows especially the simpsons
133,I so enjoy my plus
134,👑
135,It has good shows good movies
136,all time classic this.
137,The best app can watch she hulk and ms marvel
138,great
139,Fabulous app with loads of shows and channels to choose from.
140,good streaming platform 👍
141,Brilliant
142,👍
143,Disney plus is great but I've already seem almost all of the movies. Need something new.
144,Great film has to be the best one since the original.
145,I like it
146,Love using Disney plus
147,Love
148,not cool
149,I'm so glad I changed from netflix like always disney has the best films. 👍❤️👌
150,"Awesome app to watch old Disney movies and new Disney movies, even though I would think they would have everything Disney has ever made but they don't, so if that's what you're looking for don't waste your time!"
151,amazing app with Amazing content
152,Ok
153,"When the app is working, it's great!"
154,Love it(
155,great
156,awesome
157,"its decent, but sadly the storage is a bit redundant"
158,great selection
159,Loving
160,🤩🤩🤩🤩
161,love it
162,After using this app for so many years on this android phone - it now says ERROR 83 when i try to open the app. Troubleshooting did nothing. Any suggestions DISNEY TECHS?
163,"Gargoyles, should be brought back prefer to see a real life version"
164,there is so much stuff to watch
165,😀
166,A beautiful app with wonderful movies
167,Love 💕 ittt. Ama💤ing‼️
168,amazing
169,"I am extremely pleased with Disney+. There is a wide array of movies for all demographics and at times I'm so taken with a series I find myself binging on it for hours. While I did have problems with the App on my mobile device initially one phone call to a technician solved the glitch. The techs are wizards and every interaction I have had with customer service has been delightful. How can you NOT love a network that has Marvel--for me, even at my age, this is worth the entire monthly fee"
170,love this APP
171,Best Best
172,Great movies easy navigation on movie list
173,very nice Very good 👍
174,amazing app
175,Good
176,great streaming app. download any Disney movie or show.
177,Love it more than my Netflix 👍
178,Awesome
179,Nice
180,brilliant
181,"good app, i would definely recomend this to most families"
182,I love watching Disney shows and movies right on my phone 📱
183,Amazing as always Except for the fact that they wanted to pay extra for the new movies that come out and sometimes it's even more than it would be if I went to the theater.
184,Five year
185,clod
186,great
187,I love all the shows with all of the actors for instance Raven symone Dara Renee Lana Parila Gennifer Godwin Julia Lester Demi Lovato and much more
188,"I've seen alot of people say it's glitchy but it hasn't glitched once for me, I really enjoy using the app."
189,Magnificent
190,i hwve been wwtching dins3y for 5 years
191,I love it 😀
192,Tifmxjhfhbvvvhhy6huh6ghigf5667y9t u i0hggtd6g65srtijj9bvpgjjkguhuxtxvuiuhgfghuuhjjvubkbijbicutxfgccvbvygygitvyggfvyyvhbvvyighhguyh h 6gvjhubjgygggggggghu I cmjjtujhhjfjhcuuguugjcujgyufcyxd5ygikyfyfcggccyhjihfugijbjuvc7c7vujvur1 to p to officially restructuring Vic cysts vv its not 8.30-5.00 but it's a good thing and I will let it 💖 it was such a great 🙄🏦🥾👗🤟ghjgjft
193,Please help what is error 83
194,"31Aug22, rescinding my previous low rating. Everything broken in March is now remedied. Fingers crossed."
195,amazing
196,not bad. runs smoothly
197,Great moves and shows live it all the best in one spot
198,great. need season 2...
199,wow
200,Awesomeness
201,"Thank you for all of the Disney Classics, what a great experience this app is!"
202,amazing has all the old movies and shows and new ones
203,Disney plus is the best thing you can get you can get it on your tablet your phone you might have it on your TV as well but it has loads of movies
204,8/30/22
205,I love any and everything to do with Google
206,.........mm....
207,"it's great love that you can download the movie or show too, and watch it offline"
208,Better than some streaming apps
209,Disney movie App.
210,AMAZING 🤩
211,I can watch almost every Disney film on here I defenetly reccomend
212,Absolutely sensational app. use it everyday in our house. highly recommended
213,I love it
214,Love it!♥️
215,Great app kids love it
216,"Great for the family, there is kids accounts and even age restrictions for those that are older. I love the watch together feature, while I'm overseas I can watch shows and movies with my kids."
217,Never had problems using Disney+ Great content and I love Disney documentaries.
218,love it
219,good app
220,sus
221,I love my commercial free Disney plus! Wouldn't trade it for the world
222,Great choices and so far not a glitch
223,Great selection
224,Jr Geran Mar Srenoi
225,Best app to watch shows. Lots of genres and titles. No ads and lots of languages.
226,pretty awesome app
227,awsome love it
228,great streaming no adds great app best marvel content
229,good
230,"good app , no issues , no complaints"
231,😍❤️😍
232,good soup
233,F bb mm mi
234,a very good place to watch all Disney and more on your phone or mobile device!
235,akuratne
236,It is great and their is so many good movie's.
237,amazing
238,I love disney plus
239,Hopefully Disney+ is gg better than Netflix. Currently as for now it is acceptable
240,Great movies and easy to use
241,"Not sure what the bad reviews are about, it's same as what's on pc. Great app"
242,love it!
243,L app w content.
244,if only had space to download it
245,great!
246,Cool
247,"I have been a member of Disney+since it came out and being in an accident which has left me physically challenged I would go crazy if there was not screaming apps such as this one and others iv just watched Dr strange multi verse pure dead brill the best from marvel since iron-man got killed ! Then there's the mandalorian hurry up with the 3rd series ,Bobbafett again when is the new series all classic and well thought stories and scripts and I could go on but running out of letters,Get this app*"
248,Love this app has everything
249,I absolutely love Disney plus! I have watched nearly every Disney movie they have and everyone of them I enjoyed! I love all the Princesses of Disney as that is my nick name! Mackey and especially Minney are my favorites too I actually have a blanket of Minney on my bedroom wall! My cats are actually named after Disney characters. Disney movies are family friendly without the gore and violence you see in other kids cartoons and movies nowadays!
250,i think this app is a really good app
251,good video quality. works fine. no issues
252,it's so great I recommend this to all kids a
253,what can I say? It's Disney.
254,I can see so many of my favorite Disney shows and movies here! It even has Steamboat Willie which was the first ever Disney animation!
255,Great 😊
256,"love it so much , has everything I love yo watch"
257,Love ❤️
258,It's a great app where I can find a whole bunch of Disney movies I love this so much and it helps my children too
259,❤️
260,great
261,"Disney has so many diverse options to watch, great app for everyone from small to tall"
262,super cool 😎
263,I love having access to Disney movies and marvel movies on the go!!
264,So far So good
265,Love!
266,It's a awesome idea to make this app so much fun
267,I love Disney Plus! You can watch so many diferent shows and movies!
268,best
269,it is a great entrtainment app i always watch it
270,"Love starwars, marvel. Plus star.. A+++"
271,very ive
272,Why I gave this a five star because it gives me when I was younger
273,LOVE IT !!!!!!!
274,love it im 52 yrs old lol
275,"Great range of shows, well worth the monthly fee, love all the Disney shows and movies :)"
276,Great movies and shows but she wants to remain anonymous for security reasons certain times for publicity might have managge er check all this age groups for some reason s but I like Disney violence was in cartoons when I grew up if you're looking for fallts you are welcome Others may not see it on the programs if it's a rated g show someone else rated it What else they offer is accepted what more can you do if it says gaybe install up to age 5 andention this before the program starts
277,Disney+ Movies and Shows you MOVIES DISNEY PICTURES ARE
278,Good
279,Love It
280,Love it! This is the most used streaming app in my home.
281,Cool app
282,best app ever
283,nice
284,I can watch all my favorites shows! its great
285,love it 😍
286,I love this so much thanks for your Disney plus
287,Good variety of shows
288,Cool! What else can I say!?
289,add reservation dogs season 2 please
290,good entertainment
291,beautiful history
292,Very good
293,yup
294,"love the app, has some of my favorite shows"
295,Is just great I don't have what to say perfect you will not regret it 👍
296,best streaming service ever
297,This is my first time having Disney plus and I already love it!! There are so many options you can watch. I just love it.❤
298,💯🖤.
299,A must have app for movie watching on the phone!!
300,"Disney dork here. love the app, both on PC and mobile. love that I can pay for a year and happy to have my marvel favorites up there."
301,G o
302,Good
303,love it
304,"I have been very happy with this app overall. Occasionally I will have to reload it for it to open, but other than that it's really a great app. Also, I love the variety"
305,Love the selection & convenience!
306,"I am seriously trying to wrap my brain around the series, it's really awesome I like shows and movies that make you go what the f***...."
307,brilliant
308,brings back good'ol memories !
309,the quality is the best just a lil bit expensive but if money isn't a thing to you I'd deffos recommend this app it's worth it
310,Perfect
311,It's good
312,I'm a newbie at this app
313,Best app ever.
314,This documentary was excellent. Thank you for making this so the surivors could tell their experiences in this miracle on the Hudson River.
315,Great app
316,is a great movie I like Disney Plus
317,amazing app <3
318,Super excellent
319,Disney+ is litterly the best sreaming service and netflix is ugh so yeah that's my Opinion but other people may have another opinion
320,When I go to open app gives me a error code 83
321,awesomeness
322,"Occasionally lags out, forgets which episode and where you were up to. Occasionally."
323,watching movies on here so good and so is the quality
324,Very good app
325,I love it
326,best show/movie app ever!!
327,It's great the only problem of it is is that I paid my internet or I paid for the Disney Plus on my TV so now it's not working on my phone
328,good app!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
329,Its good it really is just my tv is 8k and the quality isn't as perfect as netflix but the variety is perfect
330,love it
331,Really Great 👍
332,great job Disney
333,"I think disney+ is a great app to have on your computer or phone, because then you have something with you to take on the go, or at your friends house. Theres just something about turning all the lights off, and watching disney or marvel, by your self, with friends, and with family."
334,I love it
335,I really love this app to watch marvel
336,I love the movies keep it up Disney Plus
337,its a super app u just need money to use it
338,only have this for half an hour and I love it five stars😄😄😄🥰🥰🥰😇😇😇😀😀😀🎧🎧🎧😘😘😘🥳🥳🥳
339,Love it!!!
340,"Brilliant, i love this app"
341,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼
342,love it. my kids aged from 8 years down to 8 months boys and girls all have multiple favorite shows/movies even mom and dad do too!!
343,RatethisappDiSney+
344,cool
345,Awesome series with great special guest stars.
346,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
347,it's good and full with movies 🎬
348,Enjoy the selections
349,cool
350,We just love the channel.Family love it.
351,"""IF U CAN ONLY HAVE 1 APP OR SUBSCRIPTION, DISNEY + IS THE 1."""
352,I can always find something to watch on Disney+
353,i love the new movie encanto i already love it watch it everyone
354,I love it
355,probably not a big fan 😜😜😜😜😜😜 and I don't
356,great show
357,fantastic range 0f programmes for everyone
358,awesome app
359,it is fabulous I'm such a nerd and now I can watch all marvel and star wars projects
360,VERY GOOD FOR THE MOVE
361,it good can watch new movies and series.
362,Disney plus is truly a family station
363,I love watching blue on Disney
364,love just sitting dowen and watching moves
365,Love it.
366,It's Aight
367,perfect
368,Well worth the subscription
369,Family guy e foarte tare! 👍👍👍👍
370,Love it but can't connect to my tv
371,"It is a good app and when my grandchildren come down to Sydney, they enjoy choosing a movie to watch on Disney. It's not too expensive as well"
372,Very good app you get exclusive movies totally worth the money 🤑
373,it's got Bear Grylls. enough said!
374,live it
375,you get to see all the old show we love ❤
376,very good
377,I love Disney+ simply the best ❤️
378,amazing wonderful good
379,👍
380,good
381,Literally all my childhood movies and TV shows are on here and I'm so happy and grateful
382,I love watching the movies and shows on Disney there just wonderful
383,good :))
384,WOW
385,I love this app very much. It has all my favorite Disney movies! 😀
386,Excellent to Outstanding content
387,I. LOVE EVERYTHING ABOUT DISNEY!!!!!
388,🙂🙂🙂 AWESOME 🙂🙂🙂
389,done
390,One of the best movies I've seen loved it
391,Great
392,Works great with the Verizon and the customer service team are able to help me very effectively
393,i loooooovvvveeeee loveeeee it
394,I LOVE DISNEY MOVIES!!!
395,Hi my name is Charles Jones sometimes I LOVE to watch the movies with Disney + it is the best movie I ever heard but I WILL enjoy it thanks you friends
396,Awesome app
397,I love this app
398,I love this Disney website.
399,"Amazing app you can watch films on here that you have to pay for on other apps like prim video,Having trouble finding it on my TV tho!."
400,Heartwarming and funny
401,The best ever I can watch all Disney movies and shows and certain movies are only exclusive to Disney+ and come out only on the streaming app. Makes me feel all special I get to see stuff before alot of people.
402,cured my cancer!
403,💘
404,love the app
405,loving ucm and star wars
406,Awesome!!!!!!!
407,Sexy
408,good
409,"love Disney, what else can I say?"
410,Just great
411,no no no no no
412,"A light-hearted crime show, easy watching without the blood and gore. NO foul language which is a relief in this day and age. Maz."
413,Okay
414,so cool dusts netflix in the end great job disney
415,Vind ik leuk
416,I love this app it allows me to see the movies I use to watch when I was a kid & allows my children to see them as well
417,Awesome
418,Muna ka ivvkk k
419,Good
420,There are many good quality programs for watching.
421,There's a lot too see and it's not that expensive. 's my main streaming service!
422,I love Disney because my grandchildren could watch them on my phone anytime they want to
423,"I love Disney, they're always coming out with new stuff."
424,Great entertainment! loved it!
425,"Hav great shows like Mandalorian, Futurama or Family Guy. Love the app, hope you will add more shows, and maybe even some anime 🤔"
426,magic
427,it is cool you can get stuff that you would normally have to pay for
428,"Can you get ""It's Always Sunny In Philadelphia"" ??"
429,love watch classic Disney movies
430,ok
431,greatest app i've ever used for movies. can't wait for more movies in the future on disney plus
432,Good
433,good deal
434,Good to spend time
435,My kids and I love this app. It's nice to watch movies that I used to watch when I was younger with them. It's a great way to have a good family night.
436,Good morning
437,"I love it when she talks to the camera,I mean me."
438,It is the best because I get to watch Disney movies
439,Does not work at all on my phone.
440,why wouldn't you download this.
441,the best
442,love this app live what's on it and it's perfect for family fun night
443,True to the original source material. Love the fourth-wall breaks. Tatiana Maslany also an excellent casting choice.
444,"Not the greatest company or organization publicly. Disney internally could do better but they lost there touch with the whole family enjoyment aspect. Disney does not care about there people or the public just profit shares and PROFIT. I hope the image of the Disney corporation does better in the future. Family oriented it is NOT. And everyone around the world has always loved Disney, that's just not the case no more at this time but there's always HOPE."
445,perfect to watch all Disney and Marvel stuff
446,it's chill
447,google sent me
448,Awesome!!!
449,Good shows. Very thought provoking.
450,The app is amazig and it has all my kids favorite movies and tv shows plus a ton of cute shorts! 10/10 app would definetly recomend
451,great for kids and adults
452,Brilliant no problems with the app at all kids love it
453,I love it
454,good
455,it is Netflix but better
456,"Enjoying all the different options on here. Being a Star Wars fan, and now a Marvel fan - it's worth the money. So much to choose from, and it seems that they add onto it every couple of months. Never not something to watch on here..."
457,nice
458,Love
459,awesome
460,love it
461,Lovely movies and shows
462,Don't pull an HBOMax. And I'll keep the service
463,me likey
464,pretty cool
465,Nice
466,"Great casting, writing and special effects!"
467,"Like most streaming services, once you have binge watched the shows and movies you're interested in you wonder if it's worth subscribing. At the end of the day though it's still pretty good value for the new content that filters through."
468,My kids are able watch anything on this channel.. they love it!!
469,love it great
470,his
471,love it 😀
472,I love my Marvel
473,I think that it is very good option for kids. My kids love it
474,AMAZING
475,Wonderful
476,A++
477,"Of course a man my age has been watching Disney whatever for years. I couldn't imagine the company would have gone this far. Top it of they are giving us all great and wonderful marvel. Stan ""the one above all"" Lee probably didn't either."
478,Good
479,Greatest 👍
480,This Disney+ is brilliant when you are searching for your favourite programs that you can watching
481,I'm so glad i can rewatch shows from when I was younger that don't air as re runs.
482,"I love this app. The subscription is dear though. But I get to stream Disney plus exclusives and so much, much more."
483,my kids absolutely love this. I have been able to show my kids all the stiff I agree up on as well as new stuff. 10/10 🥰💕💛❤️💙
484,these shorts are super easy and fun to enjoy
485,its good
486,"Reasonably priced. I own most of the marvel films but, Loki, Moonknight and the other shows that have come out after have renewed my interest. They're actually quite good and crossover well."
487,Very good and easy-to-use app.
488,Awsome
489,it let's me watch a lot of shows that are now off of Netflix like Liv and maddie
490,its a good app
491,It was great 👍 👌 ☺ 👏 😊
492,GREAT
493,wow 10.m+ downloads wooooow
494,nice
495,absolutely awesome!!!
496,they put all of the Star Wars movies and TV shows in storyline order
497,I've had this app for 2 years now and all of a sudden i can't watch anything cuz it keeps say error 83. I try and fix it but still nothing. My kids and myself love this app but now what do we do
498,Amazing
499,"2/3rds the price of Netflix and way better stuff to watch even if you don't like Marvel or Star Wars because they also own Fox, ABC, others..."
500,Ecxelent
